"Scenario";"ID";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Belang";"Voorwaarde";"Waarde";"Operator";"Referentiewaarde";"Status_voorwaarde";"VoorwaardeID";"Combinatie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"<";"10";TRUE;874;"874";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"30";TRUE;1391;"1391";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 2.0";"Verstoring";"vergrassing/verruiging";"zb";"bedekking vergrassing/verruiging";"13,51";"<=";"50";TRUE;1556;"1556";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"62,5";">=";"HB";TRUE;674;"674";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open zand";"1";"<";"30";TRUE;984;"2151 OR (984 AND 973)";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open vegetaties";"4,5";">=";"10";FALSE;973;"2151 OR (984 AND 973)";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"horizontale structuur";"zb";"mozaïek met 2330";"0";"=";"1";FALSE;2151;"2151 OR (984 AND 973)";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"ouderdomsstructuur Struikheide";"b";"aantal talrijke ouderdomsstadia";"2";">=";"2";TRUE;517;"517 AND 1918";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Structuur";"ouderdomsstructuur Struikheide";"b";"climax- of degeneratiestadium aanwezig";"2";">=";"1";TRUE;1918;"517 AND 1918";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aanwezigheid struikheide";"1";">=";"1";TRUE;613;"613 AND 264";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"1";FALSE;264;"613 AND 264";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"<=";"10";TRUE;872;"872";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1397;"1397";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"13,51";"<=";"50";TRUE;1546;"1546";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"10706";"2310";"2310";"Versie 3";"Verstoring";"verruiging";"zb";"bedekking verruiging";"0";"<=";"10";TRUE;1675;"1675";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"aantal ontwikkelingsstadia";"4";">=";"2";TRUE;242;"242";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";"bedekking korstmosvegetaties";"2";">=";"1";TRUE;918;"918";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,5";">=";"10";FALSE;983;"983";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"2";">=";"1";TRUE;266;"266";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<";"10";TRUE;869;"869";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"40";"<";"10";FALSE;1415;"1415";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"25,6";"<=";"30";TRUE;1547;"1547";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open vegetaties";"100";">=";"10";TRUE;972;"972";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,5";">=";"10";FALSE;988;"988";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"2";FALSE;268;"268";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<=";"10";TRUE;858;"858";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"40";"<=";"10";FALSE;1416;"1416";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1076854";"2330";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"25,6";"<=";"30";TRUE;1541;"1541";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"aantal ontwikkelingsstadia";"3";">=";"2";TRUE;242;"242";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";"bedekking korstmosvegetaties";"5";">=";"1";TRUE;918;"918";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,5";">=";"10";FALSE;983;"983";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"1";TRUE;266;"266";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<";"10";TRUE;869;"869";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<";"10";TRUE;1415;"1415";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"97,1776";"<=";"30";FALSE;1547;"1547";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open vegetaties";"10";">=";"10";TRUE;972;"972";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,5";">=";"10";FALSE;988;"988";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"2";FALSE;268;"268";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<=";"10";TRUE;858;"858";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"1";"<=";"10";TRUE;1416;"1416";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1085366";"2330";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"97,1776";"<=";"30";FALSE;1541;"1541";"Binnen";"Atlantic";0,683402483695316;16,7230246124945;11,4285565550766
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"aantal ontwikkelingsstadia";"4";">=";"2";TRUE;242;"242";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";"bedekking korstmosvegetaties";"0,1";">=";"1";FALSE;918;"918";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";"bedekking open zand";"7";">=";"10";FALSE;983;"983";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"1";FALSE;266;"266";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"<";"10";TRUE;869;"869";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"40";"<";"10";FALSE;1415;"1415";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"2,98";"<=";"30";TRUE;1547;"1547";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open vegetaties";"55,1";">=";"10";TRUE;972;"972";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"zb";"bedekking open zand";"7";">=";"10";FALSE;988;"988";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"2";FALSE;268;"268";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"1";"<=";"10";TRUE;858;"858";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"40";"<=";"10";FALSE;1416;"1416";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1092434";"2330";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"2,98";"<=";"30";TRUE;1541;"1541";"Binnen";"Atlantic";1;16,7230246124945;16,7230246124945
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"horizontale structuur";"zb";"aantal ontwikkelingsstadia";"4";">=";"2";TRUE;242;"242";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"korstmosvegetaties";"b";"bedekking korstmosvegetaties";"0,1";">=";"1";FALSE;918;"918";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,1";">=";"10";FALSE;983;"983";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"1";TRUE;266;"266";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<";"10";TRUE;869;"869";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<";"10";TRUE;1415;"1415";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"12";"<=";"30";TRUE;1547;"1547";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Structuur";"horizontale structuur";"zb";"bedekking open vegetaties";"100";">=";"10";TRUE;972;"972";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0,1";">=";"10";FALSE;988;"988";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"0";">=";"2";FALSE;268;"268";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Verstoring";"invasieve exoten";"zb";"bedekking invasieve exoten";"0";"<=";"10";TRUE;858;"858";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1416;"1416";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"1110750";"2330";"2330_bu";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"12";"<=";"30";TRUE;1541;"1541";"Binnen";"Atlantic";0,999970507446378;16,7230246124945;16,7225314077944
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"27,5";">=";"a";TRUE;676;"676";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Structuur";"horizontale structuur";"b";"afwisseling dopheidebulten en natte slenken";NA;">=";"r";NA;628;"628";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Structuur";"veenmossen";"b";"bedekking veenmoslaag";"0";">=";"lf";FALSE;1317;"1317";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Vegetatie";"aantal veenmossen";NA;"aantal veenmossen";"0";">=";"1";FALSE;521;"521";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"2";FALSE;320;"320";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"30";TRUE;1437;"1437";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"2";"<=";"50";TRUE;1486;"1486";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 3";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"27,5";">=";"B";TRUE;681;"681";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"4";FALSE;321;"321 AND 520";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal veenmossen";"0";">=";"1";FALSE;520;"321 AND 520";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1439;"1439";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"111326";"4010";"4010";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"2";"<=";"50";TRUE;1498;"1498";"Binnen";"Atlantic";1;59,3729147585655;59,3729147585655
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"87,5";">=";"a";TRUE;676;"676";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Structuur";"horizontale structuur";"b";"afwisseling dopheidebulten en natte slenken";NA;">=";"r";NA;628;"628";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Structuur";"veenmossen";"b";"bedekking veenmoslaag";"87,5";">=";"lf";TRUE;1317;"1317";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Vegetatie";"aantal veenmossen";NA;"aantal veenmossen";"0";">=";"1";FALSE;521;"521";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"2";FALSE;320;"320";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"30";TRUE;1437;"1437";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 2.0";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"97";"<=";"50";FALSE;1486;"1486";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 3";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"87,5";">=";"B";TRUE;681;"681";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal sleutelsoorten";"1";">=";"4";FALSE;321;"321 AND 520";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 3";"Vegetatie";"sleutelsoorten";"b";"aantal veenmossen";"0";">=";"1";FALSE;520;"321 AND 520";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 3";"Verstoring";"verbossing";"b";"bedekking verbossing";"0";"<=";"10";TRUE;1439;"1439";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"11218";"4010";"4010";"Versie 3";"Verstoring";"vergrassing";"zb";"bedekking vergrassing";"97";"<=";"50";FALSE;1498;"1498";"Binnen";"Atlantic";0,999970507446378;59,3729147585655;59,3711636996933
"Comninatie cirkelplot en vegetatieplot";"115422";"2310";"2310";"Versie 2.0";"Structuur";"(korst)moslaag";"b";"bedekking moslaag";"3";">=";"1";TRUE;944;"944";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"115422";"2310";"2310";"Versie 2.0";"Structuur";"dwergstruiken";"b";"bedekking dwergstruiken";"27,5";">=";"cd";TRUE;672;"672";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"115422";"2310";"2310";"Versie 2.0";"Structuur";"naakte bodem";"zb";"bedekking open zand";"0";">=";"1";FALSE;986;"986";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
"Comninatie cirkelplot en vegetatieplot";"115422";"2310";"2310";"Versie 2.0";"Structuur";"ouderdomsstructuur Struikheide";"b";"aantal ouderdomsstadia";"4";">=";"3";TRUE;250;"250";"Binnen";"Atlantic";1;41,4513647749938;41,4513647749938
